UDI,Product_ID,Type,Air_temperature_[K],Process_temperature_[K],Rotational_speed_[rpm],Torque_[Nm],Tool_wear_[min],Target,Failure_Type
68,H29481,H,298.8,308.9,1466,44.1,184,0,No Failure
69,L47248,L,298.8,308.9,1527,32.4,189,0,No Failure
71,M14930,M,298.9,309,1924,22.6,193,0,No Failure
72,L47251,L,298.9,309.1,1452,45.5,196,0,No Failure
73,L47252,L,298.9,309.1,1369,44.4,198,0,No Failure
74,L47253,L,299,309.1,1592,35,200,0,No Failure
75,L47254,L,298.9,309,1601,32.3,202,0,No Failure
76,L47255,L,298.8,308.9,1379,46.7,204,0,No Failure
77,L47256,L,298.8,308.9,1461,47.9,206,0,No Failure
79,L47258,L,298.8,308.9,1398,51.5,0,0,No Failure
80,L47259,L,298.8,308.9,1402,37.9,2,0,No Failure
81,H29494,H,298.8,308.8,1445,49.9,4,0,No Failure
82,L47261,L,298.9,308.9,1450,47.5,9,0,No Failure
83,L47262,L,298.9,308.9,1453,40.8,11,0,No Failure
84,L47263,L,299,309,1469,40.1,13,0,No Failure
85,L47264,L,298.9,308.9,1422,47.6,15,0,No Failure
86,M14945,M,299,309,1804,26.8,17,0,No Failure
87,H29500,H,299,309,1436,43.9,20,0,No Failure
88,L47267,L,299,309,1544,31.8,25,0,No Failure
89,M14948,M,299,309,1419,45.2,27,0,No Failure
90,M14949,M,298.9,308.9,1487,39.5,30,0,No Failure
91,L47270,L,298.9,308.9,1753,25.8,33,0,No Failure
92,L47271,L,298.9,308.9,1830,24.9,35,0,No Failure
93,M14952,M,298.9,308.9,1727,27.1,37,0,No Failure
94,L47273,L,299.1,309,1450,43,40,0,No Failure
95,L47274,L,299,308.9,1622,31.9,42,0,No Failure
96,M14955,M,299,309,1351,52.2,44,0,No Failure
97,M14956,M,299,309,1575,35.3,47,0,No Failure
98,M14957,M,298.9,308.9,1750,29.9,50,0,No Failure
99,L47278,L,298.9,308.8,1529,32.7,53,0,No Failure
100,L47279,L,298.8,308.8,1523,44.4,55,0,No Failure
101,L47280,L,298.8,308.9,1852,25,57,0,No Failure
102,L47281,L,298.8,308.8,1991,20.7,59,0,No Failure
103,L47282,L,298.8,308.8,1555,40.6,61,0,No Failure
104,M14963,M,298.8,308.8,1441,40.5,63,0,No Failure
105,L47284,L,298.8,308.7,1450,43.4,66,0,No Failure
106,L47285,L,298.8,308.7,1591,31.1,68,0,No Failure
107,L47286,L,298.8,308.7,1445,48.5,70,0,No Failure
108,M14967,M,298.8,308.8,1497,46.8,72,0,No Failure
109,H29522,H,298.9,308.8,1621,32.7,75,0,No Failure
110,L47289,L,298.9,308.7,1572,34.1,80,0,No Failure
111,L47290,L,298.8,308.6,1872,22.5,82,0,No Failure
112,H29525,H,298.7,308.6,1499,43.5,84,0,No Failure
113,M14972,M,298.8,308.7,1498,39.5,89,0,No Failure
114,M14973,M,298.8,308.6,1486,41.9,92,0,No Failure
115,L47294,L,298.8,308.6,1680,29.4,95,0,No Failure
116,L47295,L,298.8,308.6,1431,45.7,97,0,No Failure
117,L47296,L,298.9,308.7,1564,34.1,99,0,No Failure
118,L47297,L,298.8,308.6,1599,33,101,0,No Failure
119,M14978,M,298.8,308.6,1707,28.1,103,0,No Failure
120,L47299,L,298.7,308.5,1467,40.7,106,0,No Failure
121,L47300,L,298.9,308.7,1433,44.7,108,0,No Failure
122,L47301,L,298.9,308.7,1558,41.2,110,0,No Failure
123,L47302,L,299,308.8,1310,50.7,112,0,No Failure
124,L47303,L,298.9,308.7,1546,43.4,114,0,No Failure
125,L47304,L,298.9,308.7,1727,29.4,116,0,No Failure
126,L47305,L,298.9,308.6,1560,32.2,118,0,No Failure
127,L47306,L,299,308.6,1329,60.5,120,0,No Failure
128,L47307,L,298.9,308.6,1413,46.5,122,0,No Failure
129,L47308,L,299,308.6,1587,38.6,124,0,No Failure
130,L47309,L,298.9,308.5,1559,34.3,126,0,No Failure
131,L47310,L,298.8,308.4,1473,41.1,128,0,No Failure
132,L47311,L,298.8,308.4,1737,27.7,130,0,No Failure
133,M14992,M,298.7,308.4,1441,43.2,132,0,No Failure
134,M14993,M,298.7,308.4,1430,49.6,135,0,No Failure
135,L47314,L,298.8,308.4,1369,53,138,0,No Failure
136,M14995,M,298.8,308.5,1711,28.5,140,0,No Failure
137,H29550,H,298.7,308.5,1420,45.7,143,0,No Failure
138,L47317,L,298.7,308.6,1297,55.3,148,0,No Failure
139,H29552,H,298.8,308.6,1449,49.4,150,0,No Failure
140,L47319,L,298.8,308.6,1268,55.8,155,0,No Failure
141,L47320,L,298.8,308.6,1511,36.1,157,0,No Failure
142,L47321,L,298.7,308.5,1544,35.2,159,0,No Failure
143,M15002,M,298.6,308.4,1778,28.2,161,0,No Failure
144,H29557,H,298.6,308.4,1407,50.5,164,0,No Failure
145,M15004,M,298.6,308.4,1391,42.4,169,0,No Failure
146,L47325,L,298.5,308.4,1513,33.6,172,0,No Failure
147,H29560,H,298.5,308.4,1612,36.1,174,0,No Failure
148,L47327,L,298.4,308.4,1515,40.1,179,0,No Failure
149,M15008,M,298.3,308.3,1379,48,181,0,No Failure
328,L47507,L,297.7,308.5,1373,56.7,203,1,Overstrain Failure
381,L47560,L,297.5,308.3,2564,12.8,127,1,Power Failure
443,L47622,L,297.4,308.5,1399,61.5,61,1,Power Failure
464,L47643,L,297.4,308.7,2874,4.2,118,1,Power Failure
587,L47766,L,297.6,309.6,1501,49.8,222,1,Overstrain Failure
604,L47783,L,297.9,309.8,1336,71.6,31,1,Power Failure
747,L47926,L,296.8,308.1,1289,62.0,199,1,Overstrain Failure
848,L48027,L,296.4,307.4,2833,5.6,213,1,Power Failure
881,M15740,M,295.8,306.3,1235,76.2,89,1,Power Failure
904,L48083,L,295.7,306.2,2270,14.6,149,1,Power Failure
927,L48106,L,295.6,306.1,1372,55.6,215,1,Overstrain Failure
1017,M15876,M,296.3,307.2,1319,68.3,24,1,Power Failure
1086,L48265,L,297.0,307.8,1385,56.4,202,1,Overstrain Failure
1088,H30501,H,296.9,307.8,1549,35.8,206,1,Tool Wear Failure
1096,L48275,L,296.9,307.5,2721,9.3,18,1,Power Failure
1124,H30537,H,296.6,307.7,1386,62.3,100,1,Power Failure
1125,M15984,M,296.7,307.8,1258,69.0,105,1,Power Failure
1145,L48324,L,297.0,307.9,1296,69.1,153,1,Power Failure
1162,L48341,L,297.0,307.8,1316,61.2,200,1,Overstrain Failure
1163,L48342,L,296.9,307.8,1400,57.1,202,1,Overstrain Failure
1168,L48347,L,297.0,308.1,1362,52.5,213,1,Overstrain Failure
1222,M16081,M,297.0,308.3,1399,46.4,132,0,Random Failures
1222,M16081,M,297.0,308.3,1399,46.4,132,0,Random Failures
1222,M16081,M,297.0,308.3,1399,46.4,132,0,Random Failures
1222,M16081,M,297.0,308.3,1399,46.4,132,0,Random Failures
1222,M16081,M,297.0,308.3,1399,46.4,132,0,Random Failures
1222,M16081,M,297.0,308.3,1399,46.4,132,0,Random Failures
1222,M16081,M,297.0,308.3,1399,46.4,132,0,Random Failures
1285,L48464,L,298.4,309.5,2153,15.3,98,1,Power Failure
1303,L48482,L,298.6,309.8,1505,45.7,144,0,Random Failures
1325,M16184,M,298.8,310.1,1243,74.5,194,1,Power Failure
1335,L48514,L,299.0,310.4,1365,49.1,226,1,Overstrain Failure
1336,L48515,L,299.0,310.4,1371,53.8,228,1,Overstrain Failure
1392,L48571,L,298.9,310.2,2737,8.8,142,1,Power Failure
1420,L48599,L,298.7,309.8,1354,53.3,212,1,Overstrain Failure
1493,M16352,M,298.0,308.7,1479,58.5,176,1,Power Failure
1497,L48676,L,298.0,308.7,1268,69.4,189,1,Power Failure
1510,L48689,L,298.0,308.5,1429,37.7,220,1,Tool Wear Failure
1584,L48763,L,298.2,308.4,1310,61.0,189,1,Overstrain Failure
1596,L48775,L,298.0,308.2,1365,52.9,218,1,Overstrain Failure
1683,H31096,H,297.9,307.4,1604,36.1,225,1,Tool Wear Failure
1749,H31162,H,298.4,307.7,1626,31.1,166,0,Random Failures
1764,L48943,L,298.2,307.6,1511,31.0,209,1,Tool Wear Failure
1785,L48964,L,298.3,308.0,2886,3.8,57,1,Power Failure
1790,L48969,L,298.2,307.9,1313,67.3,67,1,Power Failure
1809,L48988,L,298.1,307.7,2567,12.8,125,1,Power Failure
1834,L49013,L,297.8,307.3,1327,61.0,186,1,Overstrain Failure
1997,M16856,M,298.4,308.0,1416,38.2,198,1,Tool Wear Failure
2016,L49195,L,298.5,308.2,1301,66.3,42,1,Power Failure
2073,L49252,L,299.6,309.5,1570,35.5,189,0,Random Failures
2073,L49252,L,299.6,309.5,1570,35.5,189,0,Random Failures
2073,L49252,L,299.6,309.5,1570,35.5,189,0,Random Failures
2073,L49252,L,299.6,309.5,1570,35.5,189,0,Random Failures
2073,L49252,L,299.6,309.5,1570,35.5,189,0,Random Failures
2073,L49252,L,299.6,309.5,1570,35.5,189,0,Random Failures
2073,L49252,L,299.6,309.5,1570,35.5,189,0,Random Failures
2073,L49252,L,299.6,309.5,1570,35.5,189,0,Random Failures
2076,L49255,L,299.5,309.4,1390,58.8,195,1,Overstrain Failure
2126,L49305,L,299.3,308.9,1258,69.4,119,1,Power Failure
2167,M17026,M,299.6,309.2,1867,23.4,225,1,Tool Wear Failure
2234,L49413,L,299.5,308.7,2549,13.0,179,1,Power Failure
2245,M17104,M,299.3,308.4,1542,37.5,203,1,Tool Wear Failure
2300,L49479,L,299.4,308.7,1446,62.9,134,1,Power Failure
2332,L49511,L,299.3,308.6,1384,53.6,218,1,Overstrain Failure
2333,L49512,L,299.2,308.5,1378,50.4,220,1,Overstrain Failure
2427,M17286,M,298.9,308.2,1372,63.6,30,1,Power Failure
2445,L49624,L,299.2,308.6,1267,68.2,76,1,Power Failure
2495,L49674,L,299.1,308.8,1329,53.6,207,1,Overstrain Failure
2503,L49682,L,299.2,309.0,1515,48.9,228,1,Overstrain Failure
2560,L49739,L,299.3,309.0,1447,50.4,140,0,Random Failures
2582,L49761,L,299.2,309.1,1345,60.7,191,1,Overstrain Failure
2599,L49778,L,299.1,308.8,1320,67.5,20,1,Power Failure
2672,M17531,M,299.7,309.3,1399,41.9,221,1,Tool Wear Failure
2762,L49941,L,299.8,309.3,1299,65.1,212,1,Overstrain Failure
2859,L50038,L,300.5,309.3,1417,51.5,231,1,Overstrain Failure
2865,H32278,H,300.6,309.4,1380,47.6,246,1,Tool Wear Failure
2880,M17739,M,300.6,309.4,1367,63.2,45,1,Power Failure
2942,M17801,M,300.7,309.6,1996,19.8,203,1,Tool Wear Failure
3001,H32414,H,300.5,309.8,1324,72.8,159,1,Power Failure
3020,L50199,L,300.5,309.8,1379,54.2,207,1,Overstrain Failure
3066,M17925,M,300.1,309.2,1687,27.7,95,0,Random Failures
3141,H32554,H,300.4,309.9,2563,12.8,81,1,Power Failure
3237,M18096,M,300.8,309.4,1342,62.4,113,1,Heat Dissipation Failure
3267,L50446,L,301.3,310.1,1269,56.8,195,1,Overstrain Failure
3351,L50530,L,301.4,310.8,1285,62.6,183,1,Overstrain Failure
3357,L50536,L,301.6,310.8,1355,57.8,195,1,Overstrain Failure
3370,L50549,L,301.5,310.9,2760,8.0,15,1,Power Failure
3453,H32866,H,301.6,310.5,1602,32.3,2,0,Random Failures
3453,H32866,H,301.6,310.5,1602,32.3,2,0,Random Failures
3453,H32866,H,301.6,310.5,1602,32.3,2,0,Random Failures
3453,H32866,H,301.6,310.5,1602,32.3,2,0,Random Failures
3453,H32866,H,301.6,310.5,1602,32.3,2,0,Random Failures
3453,H32866,H,301.6,310.5,1602,32.3,2,0,Random Failures
3453,H32866,H,301.6,310.5,1602,32.3,2,0,Random Failures
3453,H32866,H,301.6,310.5,1602,32.3,2,0,Random Failures
3458,M18317,M,301.5,310.4,2639,12.0,21,1,Power Failure
3529,L50708,L,302.0,310.9,1378,53.1,212,1,Overstrain Failure
3530,L50709,L,301.9,310.9,1567,39.0,214,1,Tool Wear Failure
3580,L50759,L,301.8,310.6,2672,11.8,124,1,Power Failure
3612,L50791,L,301.7,310.9,1405,46.4,207,1,Tool Wear Failure
3685,L50864,L,302.0,311.2,1270,65.3,182,1,Overstrain Failure
3696,L50875,L,302.2,311.3,1530,37.3,207,1,Tool Wear Failure
3761,L50940,L,302.3,310.9,1377,46.8,166,1,Heat Dissipation Failure
3788,L50967,L,302.3,310.8,1377,47.3,22,1,Heat Dissipation Failure
3794,L50973,L,302.3,310.9,1379,49.3,34,1,Heat Dissipation Failure
3807,M18666,M,302.3,310.9,1360,44.0,67,1,Heat Dissipation Failure
3815,M18674,M,302.1,310.6,1326,59.1,88,1,Heat Dissipation Failure
3830,H33243,H,302.3,310.9,1366,48.4,130,1,Heat Dissipation Failure
3855,L51034,L,302.4,311.0,1338,67.6,194,1,Power Failure
3866,H33279,H,302.6,311.5,1629,34.4,228,1,Tool Wear Failure
3868,M18727,M,302.7,311.6,2709,9.7,2,1,Power Failure
3929,L51108,L,302.6,311.5,1442,59.8,169,1,Power Failure
3936,M18795,M,302.6,311.6,1227,68.2,187,1,Overstrain Failure
3944,L51123,L,302.3,311.4,1333,66.7,205,1,Power Failure
4003,L51182,L,302.1,311.2,1454,59.2,153,1,Power Failure
4025,M18884,M,302.1,311.0,1351,60.3,207,1,Overstrain Failure
4033,L51212,L,302.0,310.8,1383,50.3,231,1,Overstrain Failure
4035,L51214,L,302.0,310.8,1615,29.0,235,1,Tool Wear Failure
4049,L51228,L,301.9,311.0,2691,12.1,31,1,Power Failure
4072,L51251,L,301.9,310.6,1331,68.6,85,1,Power Failure
4079,H33492,H,302.1,310.7,1294,62.4,101,1,Heat Dissipation Failure
4081,L51260,L,302.0,310.4,1357,58.0,108,1,Heat Dissipation Failure
4082,L51261,L,302.0,310.4,1336,58.2,110,1,Heat Dissipation Failure
4088,L51267,L,301.9,310.4,1376,54.9,126,1,Heat Dissipation Failure
4097,L51276,L,301.9,310.4,1370,51.7,153,1,Heat Dissipation Failure
4118,L51297,L,301.9,310.5,1340,55.7,204,1,Overstrain Failure
4120,L51299,L,302.1,310.7,1325,45.1,208,1,Heat Dissipation Failure
4121,M18980,M,302.1,310.7,1376,46.3,210,1,Heat Dissipation Failure
4122,M18981,M,302.1,310.7,1364,47.8,213,1,Heat Dissipation Failure
4131,L51310,L,301.9,310.4,1286,62.8,22,1,Heat Dissipation Failure
4139,L51318,L,301.7,310.2,1311,57.4,40,1,Heat Dissipation Failure
4141,L51320,L,301.7,310.2,1331,61.2,47,1,Heat Dissipation Failure
4152,M19011,M,301.9,310.4,1373,48.0,73,1,Heat Dissipation Failure
4154,M19013,M,302.0,310.4,1212,55.6,79,1,Heat Dissipation Failure
4156,L51335,L,302.0,310.5,1370,44.4,85,1,Heat Dissipation Failure
4158,L51337,L,302.0,310.5,1263,60.6,90,1,Heat Dissipation Failure
4165,L51344,L,302.2,310.6,1346,47.5,109,1,Heat Dissipation Failure
4171,M19030,M,302.2,310.6,1355,51.5,126,1,Heat Dissipation Failure
4174,M19033,M,302.2,310.6,1346,49.2,134,1,Heat Dissipation Failure
4180,L51359,L,302.4,310.9,1349,46.1,148,1,Heat Dissipation Failure
4183,L51362,L,302.4,310.7,1362,54.8,155,1,Heat Dissipation Failure
4185,L51364,L,302.2,310.6,1334,53.2,159,1,Heat Dissipation Failure
4186,L51365,L,302.2,310.6,1348,48.4,161,1,Heat Dissipation Failure
4208,M19067,M,302.3,310.9,1710,30.4,218,1,Tool Wear Failure
4212,L51391,L,302.1,310.7,1314,52.8,8,1,Heat Dissipation Failure
4226,L51405,L,302.1,310.7,1359,49.3,41,1,Heat Dissipation Failure
4248,L51427,L,302.6,311.0,1369,60.0,93,1,Heat Dissipation Failure
4250,L51429,L,302.5,310.9,1330,56.9,97,1,Heat Dissipation Failure
4252,H33665,H,302.5,310.9,1356,55.5,101,1,Heat Dissipation Failure
4254,M19113,M,302.6,311.0,1329,48.6,111,1,Heat Dissipation Failure
4255,L51434,L,302.6,311.0,1284,68.0,114,1,Power Failure
4259,M19118,M,302.7,311.1,1297,60.7,125,1,Heat Dissipation Failure
4271,L51450,L,302.6,310.9,1331,52.0,154,1,Heat Dissipation Failure
4280,L51459,L,302.0,310.1,1361,45.4,174,1,Heat Dissipation Failure
4283,L51462,L,301.9,309.9,1374,48.5,180,1,Heat Dissipation Failure
4284,M19143,M,301.8,309.9,1334,61.0,182,1,Heat Dissipation Failure
4286,L51465,L,301.7,309.9,1317,49.0,187,1,Heat Dissipation Failure
4293,M19152,M,301.8,310.1,2372,13.9,205,1,Power Failure
4297,L51476,L,301.8,310.2,2825,5.8,215,1,Power Failure
4308,L51487,L,301.4,309.9,1259,63.9,20,1,Heat Dissipation Failure
4324,L51503,L,301.8,310.3,1341,50.5,64,1,Heat Dissipation Failure
4327,L51506,L,301.6,310.1,1362,55.8,70,1,Heat Dissipation Failure
4329,L51508,L,301.6,310.1,1326,48.2,77,1,Heat Dissipation Failure
4343,M19202,M,301.7,309.8,1284,68.2,111,1,Power Failure
4354,M19213,M,302.0,309.7,1386,62.7,142,1,Power Failure
4356,H33769,H,302.0,309.8,1280,57.3,147,1,Heat Dissipation Failure
4362,M19221,M,302.1,310.1,1379,48.2,166,1,Heat Dissipation Failure
4371,L51550,L,302.0,309.9,1308,57.6,197,1,Heat Dissipation Failure
4384,L51563,L,301.7,309.5,1298,65.5,229,1,Heat Dissipation Failure
4386,L51565,L,301.8,309.7,1442,45.3,233,1,Tool Wear Failure
4390,M19249,M,302.1,310.0,1355,45.1,6,1,Heat Dissipation Failure
4392,M19251,M,302.2,310.1,1368,51.6,12,1,Heat Dissipation Failure
4401,L51580,L,302.3,310.1,1353,50.9,36,1,Heat Dissipation Failure
4406,L51585,L,302.4,310.2,1331,45.5,53,1,Heat Dissipation Failure
4407,L51586,L,302.5,310.3,1326,58.5,55,1,Heat Dissipation Failure
4410,M19269,M,302.4,310.1,1358,54.6,61,1,Heat Dissipation Failure
4418,L51597,L,302.6,310.4,1365,66.8,80,1,Power Failure
4420,M19279,M,302.6,310.2,2676,10.8,84,1,Power Failure
4422,L51601,L,302.6,310.2,1325,62.4,92,1,Heat Dissipation Failure
4428,M19287,M,302.4,310.1,1379,48.9,107,1,Heat Dissipation Failure
4436,L51615,L,302.3,310.1,1321,52.7,134,1,Heat Dissipation Failure
4442,L51621,L,302.5,310.2,1329,50.6,148,1,Heat Dissipation Failure
4449,L51628,L,302.4,310.3,1374,51.2,163,1,Heat Dissipation Failure
4450,M19309,M,302.4,310.3,1378,54.3,165,1,Heat Dissipation Failure
4463,L51642,L,302.7,310.5,1263,67.8,197,1,Heat Dissipation Failure
4470,L51649,L,302.7,310.5,1446,40.9,211,1,Tool Wear Failure
4476,L51655,L,302.7,310.5,1351,41.8,10,1,Heat Dissipation Failure
4481,H33894,H,302.7,310.4,1305,55.2,20,1,Heat Dissipation Failure
4496,L51675,L,302.6,310.4,1359,57.2,67,1,Heat Dissipation Failure
4502,L51681,L,302.5,310.2,1307,54.0,86,1,Heat Dissipation Failure
4511,L51690,L,302.4,310.2,1346,62.4,106,1,Heat Dissipation Failure
4528,M19387,M,302.4,310.5,1372,45.7,144,1,Heat Dissipation Failure
4534,M19393,M,302.4,310.3,1375,52.5,161,1,Heat Dissipation Failure
4537,L51716,L,302.4,310.2,1351,45.1,168,1,Heat Dissipation Failure
4545,L51724,L,302.5,310.4,1349,55.1,187,1,Heat Dissipation Failure
4557,M19416,M,302.7,310.6,1349,51.2,6,1,Heat Dissipation Failure
4559,L51738,L,302.7,310.7,1369,47.5,11,1,Heat Dissipation Failure
4566,H33979,H,302.7,310.8,1275,55.0,25,1,Heat Dissipation Failure
4571,L51750,L,302.8,310.9,1312,52.2,40,1,Heat Dissipation Failure
4580,L51759,L,303.0,311.2,1374,48.2,65,1,Heat Dissipation Failure
4597,L51776,L,303.0,311.2,1361,47.6,106,1,Heat Dissipation Failure
4601,L51780,L,303.0,311.0,1359,44.2,115,1,Heat Dissipation Failure
4602,M19461,M,303.0,311.1,1372,54.3,117,1,Heat Dissipation Failure
4612,L51791,L,303.0,311.3,1365,56.2,146,1,Heat Dissipation Failure
4619,M19478,M,303.0,311.3,1335,53.6,164,1,Heat Dissipation Failure
4621,L51800,L,303.1,311.3,1336,52.6,172,1,Heat Dissipation Failure
4622,L51801,L,303.0,311.2,1341,51.0,174,1,Heat Dissipation Failure
4633,M19492,M,302.9,311.2,1330,53.7,200,1,Heat Dissipation Failure
4643,L51822,L,303.2,311.4,1238,54.6,226,1,Heat Dissipation Failure
4644,L51823,L,303.2,311.4,1324,54.2,228,1,Heat Dissipation Failure
4647,L51826,L,303.3,311.4,1497,46.0,234,1,Tool Wear Failure
4652,L51831,L,303.2,311.4,1349,51.1,9,1,Heat Dissipation Failure
4662,L51841,L,303.3,311.3,1350,48.1,32,1,Heat Dissipation Failure
4666,M19525,M,303.4,311.4,1307,54.0,44,1,Heat Dissipation Failure
4670,M19529,M,303.3,311.5,1373,47.3,60,1,Heat Dissipation Failure
4703,L51882,L,303.6,311.8,1222,66.8,148,1,Heat Dissipation Failure
4719,L51898,L,303.3,311.6,1337,56.8,187,1,Heat Dissipation Failure
4721,M19580,M,303.4,311.7,1353,44.1,192,1,Heat Dissipation Failure
4724,L51903,L,303.4,311.8,1366,50.9,200,1,Heat Dissipation Failure
4728,M19587,M,303.4,311.8,1341,47.0,210,1,Heat Dissipation Failure
4730,L51909,L,303.4,311.8,1306,61.0,215,1,Heat Dissipation Failure
4732,L51911,L,303.3,311.6,1301,45.1,219,1,Heat Dissipation Failure
4738,M19597,M,303.2,311.5,1336,58.2,2,1,Heat Dissipation Failure
4740,L51919,L,303.2,311.4,1351,53.8,8,1,Heat Dissipation Failure
4749,L51928,L,303.2,311.2,1363,46.7,29,1,Heat Dissipation Failure
4756,L51935,L,303.4,311.7,1295,51.3,51,1,Heat Dissipation Failure
4760,L51939,L,303.5,311.6,1361,46.5,62,1,Heat Dissipation Failure
4762,H34175,H,303.7,311.9,1332,52.7,66,1,Heat Dissipation Failure
4763,M19622,M,303.7,312.0,2663,11.4,71,1,Power Failure
4769,L51948,L,303.6,312.0,1309,52.9,86,1,Heat Dissipation Failure
4771,L51950,L,303.5,311.9,1344,49.3,93,1,Heat Dissipation Failure
4779,H34192,H,303.6,312.2,1371,54.6,112,1,Heat Dissipation Failure
4815,L51994,L,303.4,311.8,1401,53.0,208,1,Overstrain Failure
4817,L51996,L,303.4,312.0,1521,35.9,215,1,Tool Wear Failure
4832,L52011,L,303.5,312.0,1366,54.5,30,1,Heat Dissipation Failure
4834,L52013,L,303.4,311.9,1377,41.6,34,1,Heat Dissipation Failure
